time,speed,step_frequency,heart_rate,steps_time_diff_seconds,heart_time_diff_seconds
2025-07-15 22:45:56.033449,0.047328848,86,68,0.12970899999999996,0.03275399999999995
2025-07-15 22:45:58.095430,0.029323308,91,53,0.07492100000000002,0.033672000000000035
2025-07-15 22:46:00.158149,0.034982192,96,55,0.01954800000000001,0.03336899999999998
2025-07-15 22:46:02.220836,0.0113177679999999,100,52,0.033526,0.03343600000000002
2025-07-15 22:46:04.283322,0.0529877319999999,105,49,0.087725,0.033030000000000004
2025-07-15 22:46:06.345676,0.011832212,108,43,0.141285,0.03374299999999997
2025-07-15 22:46:08.408228,0.040641076,108,46,0.196018,0.03355699999999995
2025-07-15 22:46:10.470890,0.058646616,106,46,0.252254,0.033418999999999977
2025-07-15 22:46:12.533739,0.185714284,107,66,0.30856,0.032896999999999954
2025-07-15 22:46:14.596298,0.062762168,107,58,0.364714,0.033128999999999964
2025-07-15 22:46:16.658851,0.036525524,111,68,0.420737,0.03290700000000002
2025-07-15 22:46:18.721038,0.217095368,115,78,0.473927,0.03372299999999995
2025-07-15 22:46:20.783963,0.03343886,118,75,0.527958,0.032941
2025-07-15 22:46:22.846522,0.128096556,118,90,0.582414,0.03286599999999995
2025-07-15 22:46:24.946266,0.19034428,118,79,0.674131,0.03345699999999996
2025-07-15 22:46:27.008740,0.190858724,118,71,0.728342,0.033433000000000046
2025-07-15 22:46:29.071665,0.104432132,123,69,0.781887,0.033262000000000014
2025-07-15 22:46:31.134064,0.05916106,128,56,0.838074,0.03302099999999997
2025-07-15 22:46:33.196694,0.069964384,129,60,0.894558,0.03531700000000004
2025-07-15 22:46:35.259138,0.096201028,129,69,0.950536,0.03279299999999996
2025-07-15 22:46:37.321699,0.06173328,124,64,0.996826,0.032696999999999976
2025-07-15 22:46:39.384117,0.036525524,119,67,0.940741,0.03284600000000004
2025-07-15 22:46:41.446988,0.047328848,120,51,0.884573,0.03307899999999997
2025-07-15 22:46:43.509527,0.038068856,121,69,0.8287059999999999,0.03282200000000002
2025-07-15 22:46:45.571688,0.039097744,122,70,0.772898,0.033386999999999944
2025-07-15 22:46:47.634844,0.032924416,123,66,0.719004,0.03548499999999999
2025-07-15 22:46:49.697215,0.020063316,124,90,0.665957,0.03285400000000005
2025-07-15 22:46:51.759793,0.029837752,125,91,0.612635,0.033120999999999956
2025-07-15 22:46:53.822030,0.060189948,126,92,0.559362,0.03315199999999996
2025-07-15 22:46:55.884975,0.040641076,127,91,0.5044409999999999,0.03301100000000001
2025-07-15 22:46:57.947555,0.013375544,128,90,0.450194,0.033287999999999984
2025-07-15 22:47:00.009790,0.0226355359999999,129,89,0.39558400000000005,0.03329199999999999
2025-07-15 22:47:02.072524,0.037039968,130,89,0.340977,0.03289900000000001
2025-07-15 22:47:04.134861,0.073051048,136,90,0.286895,0.033174999999999955
2025-07-15 22:47:06.197352,0.092085476,142,91,0.23140899999999998,0.033923000000000036
2025-07-15 22:47:08.259983,0.063276612,142,92,0.17529099999999997,0.033546999999999993
2025-07-15 22:47:10.322403,0.086941036,148,92,0.11946100000000004,0.03397099999999997
2025-07-15 22:47:12.385328,0.012346656,148,92,0.062917,0.03354100000000004
2025-07-15 22:47:14.448165,0.112663236,148,93,0.007491000000000025,0.032691000000000026
2025-07-15 22:47:16.510418,0.139928768,149,93,0.048017,0.03340500000000002
2025-07-15 22:47:18.572639,0.153818756,150,93,0.103512,0.03345600000000004
2025-07-15 22:47:20.635104,0.103917688,151,92,0.159435,0.03349100000000005
2025-07-15 22:47:22.698082,0.149703204,152,92,0.215957,0.033201999999999954
2025-07-15 22:47:24.760625,0.237158684,147,93,0.27175,0.033426999999999985
2025-07-15 22:47:26.822893,0.22121092,148,93,0.327733,0.033359999999999945
2025-07-15 22:47:28.885474,0.094657696,147,92,0.381793,0.034136000000000055
2025-07-15 22:47:30.948298,0.029323308,147,92,0.43812,0.03312999999999999
2025-07-15 22:47:33.010478,0.096715472,147,92,0.49344,0.033955999999999986
2025-07-15 22:47:35.072991,0.060189948,142,93,0.5494,0.03360099999999999
2025-07-15 22:47:37.135577,0.067392164,142,93,0.605269,0.03383599999999998
2025-07-15 22:47:39.198462,0.062762168,136,92,0.661542,0.033030000000000004
2025-07-15 22:47:41.261063,0.065334388,130,92,0.715795,0.033160999999999996
2025-07-15 22:47:43.323583,0.05658884,124,91,0.771832,0.03299099999999999
2025-07-15 22:47:45.386024,0.014918876,118,90,0.827801,0.033607000000000053
2025-07-15 22:47:47.448716,0.009259992,112,90,0.884055,0.03312700000000002
2025-07-15 22:47:49.511269,0.042698852,106,89,0.940175,0.033134
2025-07-15 22:47:51.573486,0.040641076,100,90,0.99497,0.03347599999999995
2025-07-15 22:47:53.636176,0.02314998,88,91,0.960432,0.033246
2025-07-15 22:47:55.698960,0.019548872,82,93,0.905346,0.032870999999999984
2025-07-15 22:47:57.761449,0.081282152,76,95,0.850527,0.033359999999999945
2025-07-15 22:47:59.823710,0.056074396,70,95,0.796443,0.033412
2025-07-15 22:48:01.886749,0.023664424,64,94,0.741419,0.03292700000000004
2025-07-15 22:48:03.948929,0.057103284,58,93,0.68746,0.033332999999999946
2025-07-15 22:48:06.011383,0.029323308,52,92,0.63479,0.03410500000000005
2025-07-15 22:48:08.074314,0.046814404,46,92,0.581136,0.03312599999999999
2025-07-15 22:48:10.136601,0.1214087839999999,40,93,0.527318,0.033658999999999994
2025-07-15 22:48:12.199404,0.071507716,34,94,0.473143,0.03303699999999998
2025-07-15 22:48:14.262109,0.100831024,29,93,0.417277,0.03307199999999999
2025-07-15 22:48:16.324519,0.083339928,25,92,0.361336,0.03323900000000002
2025-07-15 22:48:18.386655,0.0452710719999999,24,91,0.30572600000000005,0.033667
2025-07-15 22:48:20.449582,0.060189948,26,90,0.251787,0.03310100000000005
2025-07-15 22:48:22.511775,0.114206568,21,89,0.19860199999999995,0.03342900000000004
2025-07-15 22:48:24.574709,0.033953304,18,89,0.14195599999999997,0.03291299999999997
2025-07-15 22:48:26.637309,0.0257222,15,89,0.08601499999999995,0.032779
2025-07-15 22:48:28.699418,0.014404432,17,90,0.03024899999999997,0.03368400000000005
2025-07-15 22:48:30.762401,0.024178868,17,91,0.026179,0.033107
2025-07-15 22:48:32.824591,0.013889988,17,92,0.082068,0.033227000000000007
2025-07-15 22:48:34.887453,0.03601108,19,93,0.136107,0.032935999999999965
2025-07-15 22:48:36.949607,0.0375544119999999,19,91,0.188898,0.033684999999999965
2025-07-15 22:48:39.012572,0.06944994,19,90,0.245055,0.03287899999999999
2025-07-15 22:48:41.075122,0.058132172,20,89,0.301166,0.05155200000000004
2025-07-15 22:48:43.137455,0.05658884,25,89,0.357097,0.05177699999999996
2025-07-15 22:48:45.200269,0.107518796,25,90,0.413671,0.051642999999999994
2025-07-15 22:48:47.262788,0.053502176,30,93,0.466607,0.051610000000000045
2025-07-15 22:48:49.325069,0.094657696,35,93,0.520209,0.052039999999999975
2025-07-15 22:48:51.387621,0.0375544119999999,40,92,0.574232,0.052219000000000015
2025-07-15 22:48:53.450064,0.048357736,45,90,0.627802,0.052339000000000024
2025-07-15 22:48:55.513251,0.03343886,50,88,0.681693,0.051476999999999995
2025-07-15 22:48:57.575622,0.03343886,55,88,0.735692,0.05184999999999995
